port_number,border,port_name,crossing_name,hours,date,port_status,construction_notice,lane_type,automation_type,max_lanes,update_time,lane_subtype,lanes_open,operational_status,delay_minutes,time,time_zone,time_mdt
070801,Canadian Border,Alexandria Bay,Thousand Islands Bridge,24 hrs/day,3/28/2025,Open,,commercial,Manual,5,At 11:00 am EDT,standard,1,no delay,0,11:00:00,EDT,09:00:00
300401,Canadian Border,Blaine,Pacific Highway,24 hrs/day,3/28/2025,Open,,commercial,Manual,3,At 8:00 am PDT,standard,3,no delay,5,08:00:00,PDT,09:00:00
300402,Canadian Border,Blaine,Peace Arch,24 hrs/day,3/28/2025,Open,,commercial,Manual,N/A,,standard,,N/A,,,,
300403,Canadian Border,Blaine,Point Roberts,24 hrs/day,3/28/2025,Open,,commercial,Manual,1,,standard,,Update Pending,,,,
090104,Canadian Border,Buffalo/Niagara Falls,Lewiston Bridge,24 hrs/day,3/28/2025,Open,,commercial,Bluetooth,4,At 11:58 am EDT,standard,2,no delay,0,11:58:00,EDT,09:58:00
090101,Canadian Border,Buffalo/Niagara Falls,Peace Bridge,24 hrs/day,3/28/2025,Open,A Ready Lane is available from 2-6pm Monday through Thursday. ,commercial,Bluetooth,8,At 11:58 am EDT,standard,4,no delay,2,11:58:00,EDT,09:58:00
090102,Canadian Border,Buffalo/Niagara Falls,Rainbow Bridge,24 hrs/day,3/28/2025,Open,A Ready Lane is available from 3-7pm Monday through Thursday.  ,commercial,Manual,N/A,,standard,,N/A,,,,
090103,Canadian Border,Buffalo/Niagara Falls,Whirlpool Bridge,7 am-11 pm,3/28/2025,Open,,commercial,Manual,N/A,,standard,,Update Pending,,,,
011501,Canadian Border,Calais,Ferry Point,24 hrs/day,3/28/2025,Open,,commercial,Manual,N/A,,standard,,N/A,,,,
011503,Canadian Border,Calais,International Avenue,24 hrs/day,3/28/2025,Open,,commercial,Manual,3,At 11:00 am EDT,standard,1,no delay,0,11:00:00,EDT,09:00:00
011502,Canadian Border,Calais,Milltown,8 am-4 pm,3/28/2025,Open,,commercial,Manual,N/A,,standard,,N/A,,,,
071201,Canadian Border,Champlain,,24 hrs/day,3/28/2025,Open,,commercial,Manual,8,At 12:00 pm EDT,standard,3,no delay,5,12:00:00,EDT,10:00:00
